statDate,views
28.05.2021,52141607
20.05.2021,52052709
07.05.2021,51620473
23.03.2021,50169270
07.03.2021,49661265
10.01.2021,48051933
15.12.2020,47285103
12.11.2020,46399629
09.10.2020,45246317
07.10.2020,45035324
16.09.2020,43990444
03.09.2020,43951804
29.08.2020,43715677
06.08.2020,42831800
05.08.2020,42732857
16.07.2020,41961633
08.07.2020,41695950
26.06.2020,41291243
23.06.2020,41168098
18.06.2020,40953906
16.06.2020,40937113
28.05.2020,40391202
22.05.2020,40215310
19.05.2020,40171300
05.05.2020,39508296
23.04.2020,39154334
17.04.2020,38949922
10.04.2020,38434461
09.04.2020,38406389
29.03.2020,38023459
27.03.2020,37949101
24.03.2020,37825228
21.03.2020,37741541
20.03.2020,37669518
19.03.2020,37618521
16.03.2020,37507411
13.03.2020,37332151
12.03.2020,37326778
10.03.2020,37250310
05.03.2020,37000892
02.03.2020,36836050
26.02.2020,36621414
12.02.2020,36062453
07.02.2020,35690342
04.02.2020,35449047
27.01.2020,33953177
15.01.2020,33463345
05.11.2019,30040925
04.11.2019,29930210
29.10.2019,29815756
23.10.2019,29506656
22.10.2019,29489320
20.10.2019,29394993
14.10.2019,29124802
09.10.2019,28965711
08.10.2019,28928669
06.10.2019,28628112
02.10.2019,28480075
25.09.2019,28377502
23.09.2019,28245752
28.08.2019,26006985
27.08.2019,25946413
26.08.2019,25940958
25.08.2019,25889109
24.08.2019,25877010
23.08.2019,25804056
20.08.2019,25583733
18.08.2019,25513041
17.08.2019,25398781
14.08.2019,25265670
13.08.2019,25169047
12.08.2019,25081205
08.08.2019,24965383
05.08.2019,24826239
03.08.2019,24652046
02.08.2019,24609529
30.07.2019,24509036
29.07.2019,24448860
27.07.2019,24356945
25.07.2019,24262550
24.07.2019,24207612
23.07.2019,24145152
18.07.2019,23926797
17.07.2019,23833773
11.07.2019,23653260
10.07.2019,23609667
09.07.2019,23557440
08.07.2019,23316436
25.06.2019,23143595
24.06.2019,23135526
23.06.2019,23077680
