statDate,views,id
28.05.2021,52141607,d2
20.05.2021,52052709,d0
07.05.2021,51620473,d3
23.03.2021,50169270,d2
07.03.2021,49661265,d0
10.01.2021,48051933,d0
15.12.2020,47285103,d1
12.11.2020,46399629,d2
09.10.2020,45246317,d2
07.10.2020,45035324,d2
16.09.2020,43990444,d1
03.09.2020,43951804,d1
29.08.2020,43715677,d3
06.08.2020,42831800,d2
05.08.2020,42732857,d2
16.07.2020,41961633,d1
08.07.2020,41695950,d2
26.06.2020,41291243,d2
23.06.2020,41168098,d2
18.06.2020,40953906,d1
16.06.2020,40937113,d1
28.05.2020,40391202,d3
22.05.2020,40215310,d2
19.05.2020,40171300,d1
05.05.2020,39508296,d2
23.04.2020,39154334,d1
17.04.2020,38949922,d2
10.04.2020,38434461,d1
09.04.2020,38406389,d1
29.03.2020,38023459,d0
27.03.2020,37949101,d2
24.03.2020,37825228,d3
21.03.2020,37741541,d2
20.03.2020,37669518,d1
19.03.2020,37618521,d2
16.03.2020,37507411,d1
13.03.2020,37332151,d0
12.03.2020,37326778,d0
10.03.2020,37250310,d0
05.03.2020,37000892,d3
02.03.2020,36836050,d2
26.02.2020,36621414,d3
12.02.2020,36062453,d0
07.02.2020,35690342,d2
04.02.2020,35449047,d1
27.01.2020,33953177,d0
15.01.2020,33463345,d2
05.11.2019,30040925,d1
04.11.2019,29930210,d1
29.10.2019,29815756,d1
23.10.2019,29506656,d1
22.10.2019,29489320,d2
20.10.2019,29394993,d1
14.10.2019,29124802,d1
09.10.2019,28965711,d2
08.10.2019,28928669,d1
06.10.2019,28628112,d1
02.10.2019,28480075,d1
25.09.2019,28377502,d2
23.09.2019,28245752,d3
28.08.2019,26006985,d1
27.08.2019,25946413,d3
26.08.2019,25940958,d1
25.08.2019,25889109,d1
24.08.2019,25877010,d2
23.08.2019,25804056,d2
20.08.2019,25583733,d0
18.08.2019,25513041,d3
17.08.2019,25398781,d2
14.08.2019,25265670,d0
13.08.2019,25169047,d2
12.08.2019,25081205,d1
08.08.2019,24965383,d0
05.08.2019,24826239,d1
03.08.2019,24652046,d2
02.08.2019,24609529,d2
30.07.2019,24509036,d3
29.07.2019,24448860,d0
27.07.2019,24356945,d2
25.07.2019,24262550,d2
24.07.2019,24207612,d2
23.07.2019,24145152,d3
18.07.2019,23926797,d2
17.07.2019,23833773,d1
11.07.2019,23653260,d2
10.07.2019,23609667,d1
09.07.2019,23557440,d1
08.07.2019,23316436,d1
25.06.2019,23143595,d2
24.06.2019,23135526,d1
23.06.2019,23077680,d2
21.06.2019,23023958,d2
19.06.2019,22965301,d3
18.06.2019,22931007,d0
17.06.2019,22851560,d1
14.06.2019,22720885,d0
12.06.2019,22648728,d2
11.06.2019,22623237,d0
10.06.2019,22561050,d1
07.06.2019,22390228,d0
06.06.2019,22352593,d0
04.06.2019,22269648,d1
03.06.2019,22252049,d0
31.05.2019,22113776,d1
30.05.2019,22073272,d0
29.05.2019,22020909,d2
28.05.2019,21983480,d1
27.05.2019,21940838,d1
24.05.2019,21833429,d2
22.05.2019,21796091,d3
