statDate,views
28.05.2021,88898
20.05.2021,432236
07.05.2021,1451203
23.03.2021,508005
07.03.2021,1609332
10.01.2021,766830
15.12.2020,885474
12.11.2020,1153312
09.10.2020,210993
07.10.2020,1044880
16.09.2020,38640
03.09.2020,236127
29.08.2020,883877
06.08.2020,98943
05.08.2020,771224
16.07.2020,265683
08.07.2020,404707
26.06.2020,123145
23.06.2020,214192
18.06.2020,16793
16.06.2020,545911
28.05.2020,175892
22.05.2020,44010
19.05.2020,663004
05.05.2020,353962
23.04.2020,204412
17.04.2020,515461
10.04.2020,28072
09.04.2020,382930
29.03.2020,74358
27.03.2020,123873
24.03.2020,83687
21.03.2020,72023
20.03.2020,50997
19.03.2020,111110
16.03.2020,175260
13.03.2020,5373
12.03.2020,76468
10.03.2020,249418
05.03.2020,164842
02.03.2020,214636
26.02.2020,558961
12.02.2020,372111
07.02.2020,241295
04.02.2020,1495870
27.01.2020,489832
15.01.2020,3422420
05.11.2019,110715
04.11.2019,114454
29.10.2019,309100
23.10.2019,17336
22.10.2019,94327
20.10.2019,270191
14.10.2019,159091
09.10.2019,37042
08.10.2019,300557
06.10.2019,148037
02.10.2019,102573
25.09.2019,131750
23.09.2019,2238767
28.08.2019,60572
27.08.2019,5455
26.08.2019,51849
25.08.2019,12099
24.08.2019,72954
23.08.2019,220323
20.08.2019,70692
18.08.2019,114260
17.08.2019,133111
14.08.2019,96623
13.08.2019,87842
12.08.2019,115822
08.08.2019,139144
05.08.2019,174193
03.08.2019,42517
02.08.2019,100493
30.07.2019,60176
29.07.2019,91915
27.07.2019,94395
25.07.2019,54938
24.07.2019,62460
23.07.2019,218355
18.07.2019,93024
17.07.2019,180513
11.07.2019,43593
10.07.2019,52227
09.07.2019,241004
08.07.2019,172841
25.06.2019,8069
24.06.2019,57846
23.06.2019,53722
21.06.2019,58657
19.06.2019,34294
18.06.2019,79447
17.06.2019,130675
14.06.2019,72157
12.06.2019,25491
11.06.2019,62187
10.06.2019,170822
07.06.2019,37635
06.06.2019,82945
04.06.2019,17599
03.06.2019,138273
31.05.2019,40504
30.05.2019,52363
29.05.2019,37429
28.05.2019,42642
